id_cxc,estado_pago,vlr_original,vlr_pendiente_pago,producto,tipo_transaccion,rango_monto,prob_pago,valor_esperado_recuperar,valor_en_riesgo
455,PAGADO,841.5,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.987,0.0,0.0
1153,PAGADO,1182.07,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9989,0.0,0.0
1817,PAGADO,1044.86,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9988,0.0,0.0
2494,PAGADO,792.95,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.998,0.0,0.0
3159,PAGADO,659.51,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9987,0.0,0.0
3832,PAGADO,522.06,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9996,0.0,0.0
4503,PAGADO,1123.46,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9994,0.0,0.0
5177,PAGADO,650.4,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9994,0.0,0.0
6561,PAGADO,723.52,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9986,0.0,0.0
7256,PAGADO,794.05,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9995,0.0,0.0
7926,PAGADO,1267.9,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9988,0.0,0.0
8612,PAGADO,1215.06,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9975,0.0,0.0
9297,PAGADO,505.81,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.998,0.0,0.0
10646,PAGADO,706.99,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9991,0.0,0.0
11324,PAGADO,1293.53,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9986,0.0,0.0
12000,PAGADO,644.79,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9981,0.0,0.0
12682,PAGADO,1060.54,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9985,0.0,0.0
13369,PAGADO,1233.5,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9976,0.0,0.0
14056,PAGADO,713.75,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9985,0.0,0.0
14737,PAGADO,1181.18,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.999,0.0,0.0
16093,PAGADO,1218.68,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.999,0.0,0.0
17445,PAGADO,1176.88,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9986,0.0,0.0
18141,PAGADO,563.61,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9991,0.0,0.0
18815,PAGADO,946.41,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.999,0.0,0.0
